,Pfam_Label,If_Cas_Related_Protein
4177,Putative heavy-metal-binding,
4178,Putative helicase,
4179,"Putative helix-turn-helix protein, YlxM / p13 like",
4180,"Putative inner membrane exporter, YdcZ",
4181,Putative lactococcus lactis phage r1t holin,
4182,Putative lumazine-binding,
4183,Putative manganese efflux pump,
4184,Putative membrane protein insertion efficiency factor,
4185,Putative metal-binding motif,
4186,Putative metallopeptidase,
4187,Putative metallopeptidase domain,
4188,"Putative methionine and alanine importer, small subunit",
4189,Putative methyltransferase,
4190,Putative motility protein,
4191,Putative outer membrane core complex of type IVb secretion,
4192,Putative outer membrane protein,
4193,Putative pectate lyase-like adhesive domain,
4194,Putative peptidase (DUF1758),
4195,Putative peptidoglycan binding domain,
4196,Putative peptidoglycan-binding domain,
4197,Putative phage serine protease XkdF,
4198,Putative phage tail protein,
4199,Putative plant transposon protein,
4200,Putative plasmid partition protein,
4201,Putative porin,
4202,Putative prokaryotic signal transducing protein,
4203,Putative quorum-sensing-regulated virulence factor,
4204,Putative redox-active protein (C_GCAxxG_C_C),
4205,Putative rep protein (DUF1424),
4206,Putative restriction endonuclease,
4207,Putative rhamnosyl transferase,
4208,Putative sensor,
4209,Putative serine esterase (DUF676),
4210,Putative small multi-drug export protein,
4211,Putative stage IV sporulation protein YqfD,
4212,Putative sugar-binding domain,
4213,Putative tRNA binding domain,
4214,Putative thioesterase (yiiD_Cterm),
4215,Putative threonine/serine exporter,
4216,Putative transposase,
4217,Putative transposase DNA-binding domain,
4218,Putative transposase of IS4/5 family (DUF4096),
4219,"Putative transposase, YhgA-like",
4220,Putative transposon-encoded protein (DUF2080),
4221,Putative transposon-transfer assisting protein,
4222,Putative vitamin uptake transporter,
4223,Putative zinc dependent peptidase (DUF5700),
4224,Putative zinc- or iron-chelating domain,
4225,Putative zinc-binding metallo-peptidase,
4226,Putative zinc-finger,
4227,Putative zincin peptidase,
4228,Pvc16 N-terminal domain,
4229,Pycsar effector protein,
4230,Pyoverdine/dityrosine biosynthesis protein,
4231,Pyridine nucleotide-disulphide oxidoreductase,
4232,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain",
4233,Pyridoxal phosphate biosynthesis protein PdxJ,
4234,Pyridoxal phosphate biosynthetic protein PdxA,
4235,Pyridoxal-dependent decarboxylase conserved domain,
4236,"Pyridoxal-dependent decarboxylase, C-terminal sheet domain",
4237,"Pyridoxal-dependent decarboxylase, pyridoxal binding domain",
4238,Pyridoxal-phosphate dependent enzyme,
4239,Pyridoxamine 5'-phosphate oxidase,
4240,Pyridoxamine 5'-phosphate oxidase like,
4241,Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region,
4242,Pyrimidine dimer DNA glycosylase,
4243,Pyrimidine/purine nucleoside phosphorylase,
4244,Pyroglutamyl peptidase,
4245,Pyrroline-5-carboxylate reductase dimerisation,
4246,Pyruvate ferredoxin/flavodoxin oxidoreductase,
4247,"Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg",
4248,"Pyruvate kinase, alpha/beta domain",
4249,"Pyruvate kinase, barrel domain",
4250,"Pyruvate phosphate dikinase, AMP/ATP-binding domain",
4251,Pyruvate:ferredoxin oxidoreductase core domain II,
4252,QLQ,
4253,QueF-like protein,
4254,QueT transporter,
4255,Queuine tRNA-ribosyltransferase,
4256,Queuosine biosynthesis protein,
4257,Queuosine biosynthesis protein QueC,
4258,Quinolinate synthetase A protein,
4259,Quiver family u-PAR/Ly-6-like domain,
4260,R.Pab1 restriction endonuclease,
4261,R3H domain,
4262,RAMP superfamily,
4263,RAP domain,
4264,RDD family,
4265,REase_AHJR-like,
4266,REase_MTES_1575,
4267,RF-1 domain,
4268,RHS Repeat,
4269,RHS protein,
4270,RICH domain,
4271,RING-type zinc-finger,
4272,RING-variant domain,
4273,RNA 2'-O ribose methyltransferase substrate binding,
4274,"RNA 2'-phosphotransferase, Tpt1 / KptA family",
4275,RNA 3'-terminal phosphate cyclase,
4276,"RNA 3'-terminal phosphate cyclase (RTC), insert domain",
4277,RNA binding,
4278,RNA dependent RNA polymerase,
4279,RNA helicase,
4280,"RNA helicase Hera, dimerization domain",
4281,RNA ligase,
4282,RNA methyltransferase PUA domain,
4283,RNA methyltransferase domain,
4284,RNA polymerase III transcription factor (TF)IIIC subunit HTH domain,
4285,"RNA polymerase Rpb1, domain 1",
4286,"RNA polymerase Rpb1, domain 2",
4287,"RNA polymerase Rpb1, domain 3",
4288,"RNA polymerase Rpb1, domain 4",
4289,"RNA polymerase Rpb1, domain 5",
4290,"RNA polymerase Rpb1, domain 7",
4291,"RNA polymerase Rpb2, domain 2",
4292,"RNA polymerase Rpb2, domain 3",
4293,"RNA polymerase Rpb2, domain 6",
4294,RNA polymerase Rpb3/Rpb11 dimerisation domain,
4295,RNA polymerase Rpb3/RpoA insert domain,
4296,RNA polymerase Rpb6,
4297,RNA polymerase Rpc34 subunit,
4298,RNA polymerase beta subunit,
4299,RNA polymerase recycling family C-terminal,
4300,RNA pseudouridylate synthase,
4301,RNA recognition motif,
4302,RNA recognition motif 2,
4303,RNA recognition motif of the spliceosomal PrP8,
4304,RNA repair pathway DNA polymerase beta family,
4305,RNA-binding PUA-like domain of methyltransferase RsmF,
4306,"RNA-binding, Nab2-type zinc finger",
4307,RNB domain,
4308,"RNase E/G, Thioredoxin-like domain",
4309,RNase H,
4310,RNase H-like domain found in reverse transcriptase,
4311,RNaseH domain of pPIWI_RE,
4312,RNase_H superfamily,
4313,ROK family,
4314,ROS/MUCR transcriptional regulator protein,
4315,RQC domain,
4316,RRXRR protein,
4317,RTX calcium-binding nonapeptide repeat (4 copies),
4318,RTX toxin acyltransferase family,
4319,RWP-RK domain,
4320,Rab-GTPase-TBC domain,
4321,Rad51,
4322,Rad52/22 family double-strand break repair protein,
4323,RadC-like JAB domain,
4324,Radial spoke protein 3,
4325,Radical SAM ThiC family,
4326,Radical SAM superfamily,
4327,Radical_SAM C-terminal domain,
4328,Raffinose synthase or seed imbibition protein Sip1,
4329,Rap1a immunity proteins,
4330,RapA N-terminal Tudor like domain,
4331,RapA N-terminal Tudor like domain 1,
4332,Ras family,
4333,"Ras of Complex, Roc, domain of DAPkinase",
4334,RasGEF domain,
4335,Rax2 C-terminal beta propeller domain,
4336,RbsD / FucU transport protein family,
4337,RcsF lipoprotein,
4338,RctB helix turn helix domain,
4339,RecC C-terminal domain,
4340,RecF/RecN/SMC N terminal domain,
4341,RecJ OB domain,
4342,RecQ zinc-binding,
4343,RecT family,
4344,RecX family,
4345,Receptor L domain,
4346,Receptor family ligand binding region,
4347,Recombinase,
4348,Recombinase zinc beta ribbon domain,
4349,Recombination endonuclease VII,
4350,"Recombination enhancement, RecA-dependent nuclease",
4351,Recombination protein O C terminal,
4352,Recombination protein O N terminal,
4353,Recombination protein U,
4354,Redoxin,
4355,Reductase C-terminal,
4356,Reelin subrepeat B,
4357,Region found in RelA / SpoT proteins,
4358,Regulated-SNARE-like domain,
4359,Regulator of RNA terminal phosphate cyclase,
4360,Regulator of chromosome condensation (RCC1) repeat,
4361,Regulator of microtubule dynamics protein 1-3,
4362,Regulator of ribonuclease activity B,
4363,Regulatory protein YrvL,
4364,Regulatory subunit of type II PKA R-subunit,
4365,"RelA/SpoT, AH and RIS domains",
4366,RelB antitoxin,
4367,RelE-like toxin of type II toxin-antitoxin system HigB,
4368,Relaxase/Mobilisation nuclease domain,
4369,"Remorin, C-terminal region",
4370,RepB DNA-primase from phage plasmid,
4371,RepB plasmid partitioning protein,
4372,Repeat in HS1/Cortactin,
4373,Repeat of Unknown Function (DUF347),
4374,Repeat of unknown function (DUF5648),
4375,Repeat of unknown function (DUF5650),
4376,Repeat of unknown function (DUF5907),
4377,Replicase family,
4378,Replication factor-A C terminal domain,
4379,"Replication factor-A protein 1, N-terminal domain",
4380,Replication initiation and membrane attachment,
4381,Replication initiation factor,
4382,Replication initiator protein A,
4383,Replication initiator protein A (RepA) N-terminus,
4384,Replication initiator protein A C-terminal domain,
4385,Replication protein,
4386,Replication protein A OB domain,
4387,Replication protein C (RepC),
4388,Replication protein C C-terminal region,
4389,Replication protein C N-terminal domain,
4390,Replication protein P,
4391,Replication regulatory protein RepB,
4392,Replication-relaxation,
4393,Repressor of phase-1 flagellin,
4394,ResB-like family,
4395,"Resolvase, N terminal domain",
4396,Respiratory nitrate reductase alpha N-terminal,
4397,Respiratory nitrate reductase beta C-terminal,
4398,Respiratory-chain NADH dehydrogenase 51 Kd subunit,
4399,"Respiratory-chain NADH dehydrogenase, 30 Kd subunit",
4400,"Respiratory-chain NADH dehydrogenase, 49 Kd subunit",
4401,Response regulator receiver domain,
4402,Restriction Enzyme Adenine Methylase Associated,
4403,Restriction alleviation protein Lar,
4404,Restriction endonuclease,
4405,"Restriction endonuclease PvuRts1 I-like, N-terminal",
4406,Restriction endonuclease fold toxin 5,
4407,Retinal pigment epithelial membrane protein,
4408,Retinoblastoma-associated protein A domain,
4409,Retrotransposon gag protein,
4410,Retroviral aspartyl protease,
4411,Reverse transcriptase (RNA-dependent DNA polymerase),
4412,Reverse transcriptase-like,
4413,Rft protein,
4414,"Rhamnogalacturonan lyase family 11, C-terminal domain",
4415,"Rho termination factor, N-terminal domain",
4416,"Rho termination factor, RNA-binding domain",
4417,Rhodanese-like domain,
4418,Rhomboid family,
4419,Rib domain,
4420,RibD C-terminal domain,
4421,Ribbon-helix-helix domain,
4422,"Ribbon-helix-helix protein, copG family",
4423,RiboL-PSP-HEPN,
4424,Riboflavin kinase,
4425,Ribonuclease B OB domain,
4426,Ribonuclease E/G family,
4427,Ribonuclease H-like,
4428,Ribonuclease H2 non-catalytic subunit (Ylr154p-like),
4429,Ribonuclease HII,
4430,Ribonuclease HepT-like,
4431,Ribonuclease III domain,
4432,Ribonuclease J C-terminal domain,
4433,Ribonuclease P,
4434,"Ribonuclease P/MRP, subunit p29",
4435,Ribonuclease R winged-helix domain,
4436,Ribonuclease T2 family,
4437,"Ribonuclease toxin, BrnT, of type II toxin-antitoxin system",
4438,Ribonuclease-III-like,
4439,"Ribonucleotide reductase, all-alpha domain",
4440,"Ribonucleotide reductase, barrel domain",
4441,"Ribonucleotide reductase, small chain",
4442,Ribose/Galactose Isomerase,
4443,Ribosomal L18 C-terminal region,
4444,"Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast",
4445,Ribosomal L25p family,
4446,Ribosomal L28 family,
4447,Ribosomal L28e protein family,
4448,Ribosomal L29 protein,
4449,Ribosomal L32p protein family,
4450,Ribosomal L37ae protein family,
4451,Ribosomal RNA adenine dimethylase,
4452,"Ribosomal RNA large subunit methyltransferase D, RlmJ",
4453,Ribosomal RNA large subunit methyltransferase N-terminal domain,
4454,Ribosomal prokaryotic L21 protein,
4455,Ribosomal protein L10,
4456,Ribosomal protein L11 methyltransferase (PrmA),
4457,Ribosomal protein L14,
4458,Ribosomal protein L14p/L23e,
4459,Ribosomal protein L16p/L10e,
4460,Ribosomal protein L19,
4461,Ribosomal protein L1p/L10e family,
4462,Ribosomal protein L21e,
4463,Ribosomal protein L22p/L17e,
4464,Ribosomal protein L23,
4465,Ribosomal protein L3,
4466,Ribosomal protein L30p/L7e,
4467,Ribosomal protein L31,
4468,Ribosomal protein L31e,
4469,Ribosomal protein L34,
4470,Ribosomal protein L35,
4471,Ribosomal protein L4/L1 family,
4472,Ribosomal protein L5,
4473,Ribosomal protein L6,
4474,Ribosomal protein L7/L12 C-terminal domain,
4475,Ribosomal protein L7/L12 dimerisation domain,
4476,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family,
4477,"Ribosomal protein L9, C-terminal domain",
4478,"Ribosomal protein L9, N-terminal domain",
4479,Ribosomal protein S10p/S20e,
4480,Ribosomal protein S11,
4481,Ribosomal protein S13/S18,
4482,Ribosomal protein S14p/S29e,
4483,Ribosomal protein S18,
4484,Ribosomal protein S19,
4485,Ribosomal protein S2,
4486,Ribosomal protein S20,
4487,Ribosomal protein S21,
4488,Ribosomal protein S21e,
4489,Ribosomal protein S24e,
4490,Ribosomal protein S27,
4491,Ribosomal protein S27a,
4492,"Ribosomal protein S3, C-terminal domain",
4493,Ribosomal protein S4/S9 N-terminal domain,
4494,Ribosomal protein S6,
4495,Ribosomal protein S6e,
4496,Ribosomal protein S7p/S5e,
4497,Ribosomal protein S8,
4498,Ribosomal protein S9/S16,
4499,"Ribosomal protein TL5, C-terminal domain",
4500,Ribosomal proteins 50S L24/mitochondrial 39S L24,
4501,"Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A",
4502,Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A,
4503,"Ribosomal proteins L26 eukaryotic, L24P archaeal",
4504,Ribosomal silencing factor during starvation,
4505,Ribosomally synthesized peptide in Herpetosiphon,
4506,Ribosome recycling factor,
4507,Ribosome-binding factor A,
4508,Ribulose-phosphate 3 epimerase family,
4509,Ricin-type beta-trefoil lectin domain-like,
4510,Rieske [2Fe-2S] domain,
4511,Right handed beta helix region,
4512,RimK-like ATP-grasp domain,
4513,RimM N-terminal domain,
4514,RimP C-terminal SH3 domain,
4515,RimP N-terminal domain,
4516,Ring finger domain,
4517,Ring hydroxylating alpha subunit (catalytic domain),
4518,"RlmA, N-terminal",
4519,RloB-like protein,
4520,RmlD substrate binding domain,
4521,RmuC family,
4522,"Rnf-Nqr subunit, membrane protein",
4523,RnfC Barrel sandwich hybrid domain,
4524,RnfH family Ubiquitin,
4525,Roadblock/LC7 domain,
4526,Rod binding protein,
4527,RodZ C-terminal domain,
4528,Rolling Circle replication initiation protein N-terminal domain,
4529,Rop protein,
4530,Rpp14/Pop5 family,
4531,RsgA GTPase,
4532,RsgA N-terminal domain,
4533,RsmF rRNA methyltransferase first C-terminal domain,
4534,Rubisco LSMT substrate-binding,
4535,Rubredoxin metal binding domain,
4536,Rubrerythrin,
4537,RuvA N terminal domain,
4538,"RuvA, C-terminal domain",
4539,RuvB C-terminal winged helix domain,
4540,RuvC endonuclease subdomain 3,
4541,RuvC nuclease domain,
4542,Rv0623-like transcription factor,
4543,Rx N-terminal domain,
4544,RyR domain,
4545,S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP),
4546,S-Ribosylhomocysteinase (LuxS),
4547,S-adenosyl-l-methionine decarboxylase leader peptide,
4548,S-adenosylmethionine decarboxylase,
4549,S-adenosylmethionine-dependent methyltransferase,
4550,S-layer homology domain,
4551,"S-layer like family, central region",
4552,"S-layer like family, outer domain",
4553,S-layer protein SbsC C-terminal domain,
4554,S-type Pyocin,
4555,S1 RNA binding domain,
4556,S1 domain,
4557,S4 domain,
4558,SAC3/GANP family,
4559,SAD/SRA domain,
4560,SAF domain,
4561,SAND domain,
4562,SAP domain,
4563,SBF-like CPA transporter family (DUF4137),
4564,SCO1/SenC,
4565,SCP-2 sterol transfer family,
4566,SEC-C motif,
4567,SET and RING associated domain,
4568,SET domain,
4569,SGNH domain (fused to AT3 domains),
4570,"SGNH hydrolase-like domain, acetyltransferase AlgX",
4571,SH3 domain,
4572,SHIRT domain,
4573,SHOCT domain,
4574,SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397,
4575,SHS2 domain inserted in FTSA,
4576,SIR2-like domain,
4577,SIS domain,
4578,SLBB domain,
4579,SMC proteins Flexible Hinge Domain,
4580,SMI1 / KNR4 family (SUKH-1),
4581,SMI1-KNR4 cell-wall,
4582,SMODS and SLOG-associating 2TM effector domain family 5,
4583,SMODS-associated and fused to various effectors sensor domain,
4584,"SMODS-associating 2TM, beta-strand rich effector domain",
4585,SMODS-associating 4TM effector domain,
4586,SMP-30/Gluconolactonase/LRE-like region,
4587,SNARE associated Golgi protein,
4588,SNF2-related domain,
4589,SNO glutamine amidotransferase family,
4590,SOS response associated peptidase (SRAP),
4591,SPFH domain / Band 7 family,
4592,SPFH domain-Band 7 family,
4593,"SPI-1 type 3 secretion system secretin, N0 domain",
4594,SPOCS_spoVID-N,
4595,SPOR domain,
4596,SPRY domain,
4597,SPX domain,
4598,SP_0191-like,
4599,SRF-type transcription factor (DNA-binding and dimerisation domain),
4600,SRP19 protein,
4601,"SRP54-type protein, GTPase domain",
4602,"SRP54-type protein, helical bundle domain",
4603,START domain,
4604,STAS domain,
4605,STAS-like domain of unknown function (DUF4325),
4606,STIV B116-like,
4607,STK_08120-like,
4608,STPRs (score and three amino acid peptide repeats),
4609,SWI2/SNF2 ATPase,
4610,SWIB/MDM2 domain,
4611,SWIM zinc finger,
4612,SabA N-terminal extracellular adhesion domain,
4613,Salmonella outer protein D,
4614,Salt stress response/antifungal,
4615,"Sap, sulfolipid-1-addressing protein",
4616,"Sarcosine oxidase, gamma subunit family",
4617,SatD family (SatD),
4618,Saxitoxin biosynthesis operon protein SxtJ,
4619,"SbcC/RAD50-like, Walker B motif",
4620,Scaffold protein Nfu/NifU N terminal,
4621,Scd6-like Sm domain,
4622,"Schlafen, AlbA_2",
4623,SdpI/YfhL protein family,
4624,SdrD B-like domain,
4625,Sec-independent protein translocase protein (TatC),
4626,Sec23-binding domain of Sec16,
4627,SecA DEAD-like domain,
4628,SecE/Sec61-gamma subunits of protein translocation complex,
4629,SecY,
4630,Second Messenger Oligonucleotide or Dinucleotide Synthetase domain,
4631,Secreted repeat of unknown function,
4632,Secretin N-terminal domain,
4633,Secretin and TonB N terminus short domain,
4634,Secretion monitor precursor protein (SecM),
4635,Secretion system C-terminal sorting domain,
4636,Secretion system effector C (SseC) like family,
4637,Secretory lipase,
4638,Secretory pathway protein Sec39,
4639,Secretory protein of YscJ/FliF family,
4640,Seed maturation protein,
4641,Segregation and condensation complex subunit ScpB,
4642,Segregation and condensation protein ScpA,
4643,Sel1 repeat,
4644,SelR domain,
4645,"Selenoprotein, putative",
4646,"Semialdehyde dehydrogenase, NAD binding domain",
4647,"Semialdehyde dehydrogenase, dimerisation domain",
4648,Sensor protein DegS,
4649,Septum formation,
4650,"Septum formation inhibitor MinC, C-terminal domain",
4651,"Septum formation inhibitor MinC, N-terminal domain",
4652,Septum formation initiator,
4653,"Serine aminopeptidase, S33",
4654,Serine carboxypeptidase,
4655,Serine dehydratase alpha chain,
4656,Serine hydrolase,
4657,Serine hydroxymethyltransferase,
4658,Serine incorporator (Serinc),
4659,Serine/Threonine/Tyrosine Kinase found in polyvalent proteins,
4660,Serpentine type 7TM GPCR chemoreceptor Srw,
4661,Serpentine type 7TM GPCR receptor class ab chemoreceptor,
4662,Serpin (serine protease inhibitor),
4663,Serpulina hyodysenteriae variable surface protein,
4664,Seryl-tRNA synthetase N-terminal domain,
4665,Sgs1 RecQ helicase,
4666,"Shedu protein SduA, C-terminal",
4667,Shikimate / quinate 5-dehydrogenase,
4668,Shikimate 5'-dehydrogenase C-terminal domain,
4669,Shikimate dehydrogenase substrate binding domain,
4670,Shikimate kinase,
4671,Short C-terminal domain,
4672,Short repeat of unknown function (DUF308),
4673,"Siah interacting protein, N terminal",
4674,"Sialidase, N-terminal domain",
4675,Siderophore-interacting FAD-binding domain,
4676,Siderophore-interacting protein,
4677,Sieve element occlusion C-terminus,
4678,Sieve element occlusion N-terminus,
4679,Sigma 54 modulation protein / S30EA ribosomal protein,
4680,Sigma 54 modulation/S30EA ribosomal protein C terminus,
4681,Sigma factor regulator C-terminal,
4682,Sigma factor regulator N-terminal,
4683,"Sigma-54 factor, Activator interacting domain (AID)",
4684,"Sigma-54 factor, core binding domain",
4685,Sigma-54 interaction domain,
4686,"Sigma-54, DNA binding domain",
4687,"Sigma-70 factor, region 1.2",
4688,Sigma-70 region 2,
4689,Sigma-70 region 3,
4690,"Sigma-70, region 4",
4691,SigmaK-factor processing regulatory protein BofA,
4692,Signal peptidase (SPase) II,
4693,"Signal peptidase, peptidase S26",
4694,Signal peptide binding domain,
4695,"Signal-peptide peptidase, presenilin aspartyl protease",
4696,Single Cache domain 2,
4697,Single cache domain 3,
4698,Single-strand binding protein family,
4699,"Single-stranded DNA-binding protein, Bacteriophage T7",
4700,"SipL, SPOCS domain",
4701,Siphovirus Gp157,
4702,Siphovirus ReqiPepy6 Gp37-like protein,
4703,Siphovirus protein of unknown function (DUF859),
4704,Sir2 family,
4705,Sir2- and TIR-associating SLOG family,
4706,"Small EDRK-rich factor 1/2-like, N-terminal",
4707,Small integral membrane protein (DUF2273),
4708,Small subunit of acetolactate synthase,
4709,"Small zinc finger protein HVO_2753-like, Zn-binding pocket",
4710,"Small, acid-soluble spore proteins, alpha/beta type",
4711,SmpA / OmlA family,
4712,Smr domain,
4713,Snf7,
4714,SnoaL-like domain,
4715,SnoaL-like polyketide cyclase,
4716,Sodium Bile acid symporter family,
4717,Sodium/calcium exchanger protein,
4718,Sodium/hydrogen exchanger family,
4719,Sodium:alanine symporter family,
4720,Sodium:dicarboxylate symporter family,
4721,Sodium:neurotransmitter symporter family,
4722,Sodium:solute symporter family,
4723,Sodium:sulfate symporter transmembrane region,
4724,"Soluble NSF attachment protein, SNAP",
4725,Sortase domain,
4726,"Sortilin, neurotensin receptor 3,",
4727,Spectrin repeat,
4728,Spermatogenesis-associated serine-rich protein 2-like,
4729,Spermidine synthase tetramerisation domain,
4730,Spermine/spermidine synthase domain,
4731,Spherulation-specific family 4,
4732,Spi protease inhibitor,
4733,Spo0E like sporulation regulatory protein,
4734,SpoIIAA-like,
4735,SpoIIIAH-like protein,
4736,SpoIVB peptidase S55,
4737,SpoU rRNA Methylase family,
4738,SpoVG,
4739,Spondin-like TSP1 domain,
4740,Spore Coat Protein U domain,
4741,Spore coat associated protein JA (CotJA),
4742,Spore cortex protein YabQ (Spore_YabQ),
4743,"Spore germination B3/ GerAC like, C-terminal",
4744,Spore germination GerPB,
4745,Spore germination protein,
4746,Spore germination protein gerPA/gerPF,
4747,Spore morphogenesis and germination YwcE,
4748,Sporulation and spore germination,
4749,Sporulation factor SpoIIGA,
4750,Sporulation inhibitor A,
4751,Sporulation inhibitor of replication protein SirA,
4752,Sporulation initiation factor Spo0A C terminal,
4753,Sporulation lipoprotein YhcN/YlaJ (Spore_YhcN_YlaJ),
4754,Sporulation protein YtfJ (Spore_YtfJ),
4755,Sporulation protein YtrH,
4756,Sporulation protein YunB (Spo_YunB),
4757,"Sporulation stage III, protein AA",
4758,SprB repeat,
4759,SprT-like family,
4760,Spt4/RpoE2 zinc finger,
4761,Spy0128-like isopeptide containing domain,
4762,Squalene-hopene cyclase C-terminal domain,
4763,Squalene-hopene cyclase N-terminal domain,
4764,Squalene/phytoene synthase,
4765,SseB protein C-terminal domain,
4766,SseB protein N-terminal domain,
4767,Stability determinant,
4768,Stage II sporulation protein,
4769,Stage II sporulation protein E (SpoIIE),
4770,Stage II sporulation protein E N-terminal,
4771,Stage II sporulation protein M,
4772,Stage II sporulation protein R (spore_II_R),
4773,Stage III sporulation protein AB (spore_III_AB),
4774,Stage III sporulation protein AC/AD protein family,
4775,Stage III sporulation protein AE (spore_III_AE),
4776,Stage III sporulation protein AF (Spore_III_AF),
4777,Stage III sporulation protein D,
4778,Staphylococcal complement inhibitor SCIN,
4779,Staphylococcal nuclease homologue,
4780,Staphylococcal protein of unknown function (DUF960),
4781,"Staphylococcal/Streptococcal toxin, OB-fold domain",
4782,"Staphylococcal/Streptococcal toxin, beta-grasp domain",
4783,Staphylococcus aureus coagulase,
4784,Starch synthase catalytic domain,
4785,Starch-binding associating with outer membrane,
4786,Starch-binding module 26,
4787,Starch/carbohydrate-binding module (family 53),
4788,Staygreen protein,
4789,"Stealth protein CR1, conserved region 1",
4790,"Stealth protein CR2, conserved region 2",
4791,Sterol carrier protein domain,
4792,"Stigma-specific protein, Stig1",
4793,Streptococcal histidine triad protein,
4794,"Streptomyces sporulation and cell division protein, SsgA",
4795,Streptomycin adenylyltransferase,
4796,Stress responsive A/B Barrel Domain,
4797,Stress-induced bacterial acidophilic repeat motif,
4798,Stringent starvation protein B,
4799,Subtilase family,
4800,Succinate dehydrogenase/Fumarate reductase transmembrane subunit,
4801,Succinyl-CoA ligase like flavodoxin domain,
4802,Succinylglutamate desuccinylase / Aspartoacylase family,
4803,Sucrase/ferredoxin-like,
4804,Sucrose-6F-phosphate phosphohydrolase,
4805,Sugar (and other) transporter,
4806,Sugar efflux transporter for intercellular exchange,
4807,Sugar transport protein,
4808,Sugar-binding N-terminal domain,
4809,Sugar-specific transcriptional regulator TrmB,
4810,"Sugar-tranasporters, 12 TM",
4811,Sugar-transfer associated ATP-grasp,
4812,Sulfatase,
4813,Sulfatase-modifying factor enzyme 1,
4814,Sulfate permease family,
4815,Sulfite exporter TauE/SafE,
4816,Sulfotransferase domain,
4817,Sulfotransferase family,
4818,Sulfur oxidation protein SoxY,
4819,Sulfurtransferase TusA,
4820,Sulphur transport,
4821,Super-infection exclusion protein B,
4822,Superinfection immunity protein,
4823,SurA N-terminal domain,
4824,SurA-like N-terminal domain,
4825,Surface adhesin CshA repetitive domain,
4826,Surface antigen variable number repeat,
4827,Surface lipoprotein assembly modifier,
4828,Surface-adhesin protein E,
4829,Surp module,
4830,SusD family,
4831,SusE outer membrane protein,
4832,Susd and RagB outer membrane lipoprotein,
4833,Syd protein (SUKH-2),
4834,Syndecan domain,
4835,T-Q ester bond containing domain,
4836,T-complex protein 11,
4837,T-lymphoma invasion and metastasis CC-Ex domain,
4838,T4-like virus Myoviridae tail sheath stabiliser,
4839,T4-like virus tail tube protein gp19,
4840,T5orf172 domain,
4841,"T6SS immunity protein Tdi1, C-terminal",
4842,TAP-like protein,
4843,TAT (twin-arginine translocation) pathway signal sequence,
4844,TATA-box binding,
4845,TENA/THI-4/PQQC family,
4846,TFIIB zinc-binding,
4847,TFIIE alpha subunit,
4848,TGS domain,
4849,THO complex subunit 1 transcription elongation factor,
4850,THUMP domain,
4851,THUMP domain-like,
4852,TIM21,
4853,TIR domain,
4854,TLC domain,
4855,TLD,
4856,TLR4 regulator and MIR-interacting MSAP,
4857,TM2 domain,
4858,TMEM164 family,
4859,TNFR/NGFR cysteine-rich region,
4860,"TNP-like, RNase H C-terminal domain",
4861,TOBE domain,
4862,TPM domain,
4863,TPR repeat,
4864,TPS secretion domain,
4865,TRAF-type zinc finger,
4866,"TRAF/meprin, MATH domain",
4867,TRAM domain,
4868,TRCF domain,
4869,TROVE domain,
4870,TSCPD domain,
4871,TT viral ORF2,
4872,TT viral orf 1,
4873,TadE-like protein,
4874,Tail length tape measure protein,
4875,Tail specific protease N-terminal domain,
4876,"TamB, inner membrane protein subunit of TAM complex",
4877,Tape measure protein,
4878,TaqI-like C-terminal specificity domain,
4879,TatD related DNase,
4880,Tau95 Triple barrel domain,
4881,"Taurine catabolism dioxygenase TauD, TfdA family",
4882,Tautomerase enzyme,
4883,Tc5 transposase DNA-binding domain,
4884,TcpE family,
4885,Tectonin domain,
4886,Tellurite resistance protein TehB,
4887,Tellurite resistance protein TerB,
4888,Telomere recombination,
4889,Telomere resolvase,
4890,TerB N-terminal domain,
4891,TerB-C domain,
4892,Terminase DNA packaging enzyme,
4893,Terminase RNAseH like domain,
4894,Terminase RNaseH-like domain,
4895,"Terminase large subunit, ATPase domain",
4896,"Terminase large subunit, T4likevirus-type, N-terminal",
4897,"Terminase large subunit, endonuclease domain",
4898,Terminase small subunit,
4899,"Terpene synthase family 2, C-terminal metal binding",
4900,"Terpene synthase family, metal binding domain",
4901,"Tesmin/TSO1-like CXC domain, cysteine-rich domain",
4902,Tetraacyldisaccharide-1-P 4'-kinase,
4903,"Tetracyclin repressor-like, C-terminal domain",
4904,Tetracycline resistance determinant leader peptide,
4905,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain",
4906,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain",
4907,Tetrapyrrole (Corrin/Porphyrin) Methylases,
4908,Tetraspanin family,
4909,Tetratrico peptide repeat,
